Item#, Price , Net ,Description,Wt. (LB),CuFt,Page
8490-LR, $ 168.88 , Net ,(1/6) LEFT SIDE RECLINING CHAIR,83.60,24.22,S-19
8490-RC, $ 218.04 , Net ,"(2/6) RIGHT SIDE CHAISE, PUSH BACK RECLINER",101.20,37.22,S-19
8490-RR, $ 168.04 , Net ,(2/6) RIGHT SIDE RECLINING CHAIR,83.60,24.22,S-19
8490*6LCRR, $ 898.00 , Net ,(6) SECTIONAL AS SHOWN ON S-19,389.40,136.95,S-19
8490*6LRRC, $ 898.00 , Net ,(6) SECTIONAL AS SHOWN ON S-20 TOP,389.40,136.95,S-20
8490*6LRRR, $ 848.00 , Net ,(6) SECTIONAL AS SHOWN ON S-20 MIDDLE,371.80,123.95,S-20
8490*8LRRR," $ 1,046.04 ", Net ,(8) SECTIONAL AS SHOWN ON S-20 BOTTOM,464.20,148.25,S-20
8490FBR-AC, $ 115.00 , Net ,"(3/6) ARMLESS CHR, FABRIC",46.20,17.70,S-21
8490FBR-AR, $ 135.00 , Net ,(4/6) ARMLESS RCLNR CHAIR,63.80,17.70,S-21
8490FBR-CN, $ 63.04 , Net ,(5/6) CONSOLE,28.60,6.60,S-21
8490FBR-CR, $ 198.04 , Net ,(6/6) CORNER SEAT,66.00,33.51,S-21
8490FBR-LC, $ 218.88 , Net ,"(1/6) LSF CHAISE, PUSH BACK RECLINER",101.20,37.22,S-21
8490FBR-LR, $ 168.88 , Net ,(1/6) LSF RECLINING CHAIR,83.60,24.22,S-21
8490FBR-RC, $ 218.04 , Net ,"(2/6) RSF CHAISE, PUSH BACK RECLINER",101.20,37.22,S-21
8490FBR-RR, $ 168.04 , Net ,(2/6) RSF RECLINING CHAIR,83.60,24.22,S-21
8490FBR*6LRRC, $ 898.00 , Net ,(6) SECTIONAL AS SHOWN ON S-21 BOTTOM,389.40,136.95,S-21
8490FBR*6LRRR, $ 848.00 , Net ,(6) SECTIONAL AS SHOWN ON S-21,371.80,123.95,S-21
8511BK-1, $ 135.00 , Net ,CHAIR,67.90,15.28,S-108
8511BK-2, $ 185.00 , Net ,LOVE SEAT,93.70,22.79,S-108
8511BK-3, $ 205.00 , Net ,SOFA,118.20,30.75,S-108
8524BK-1, $ 225.00 , Net ,GLIDER RECLINING CHAIR,92.40,21.20,S-65
8524BK-2, $ 359.00 , Net ,DOUBLE GLIDER RECLINING LOVE SEAT W/ CNTR CONSOLE,160.60,41.80,S-65
8524BK-3, $ 359.00 , Net ,DOUBLE RECLINING SOFA,180.40,47.10,S-65
8524RD-1, $ 225.00 , Net ,GLIDER RECLINING CHAIR,92.40,21.20,S-66
8524RD-2, $ 359.00 , Net ,DOUBLE GLIDER RECLINING LOVE SEAT W/ CNTR CONSOLE,160.60,41.80,S-66
8524RD-3, $ 359.00 , Net ,DOUBLE RECLINING SOFA,180.40,47.10,S-66
8545-1LT, $ 255.00 , Net ,POWER LIFT CHAIR,108.90,18.25,S-183
